Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG117543.001,tr|A0A087WNJ2|A0A087WNJ2_MOUSE,Protein Igkv6-32 OS=Mus musculus GN=Igkv6-32 PE=4 SV=1,Igkv6-32,A0A087WNJ2
SJPG117546.001,tr|A0A087WNJ9|A0A087WNJ9_MOUSE,Protein Igkv8-19 OS=Mus musculus GN=Igkv8-19 PE=4 SV=1,Igkv8-19,A0A087WNJ9
SJPG117537.001,tr|A0A087WNK1|A0A087WNK1_MOUSE,Protein Igkv6-15 OS=Mus musculus GN=Igkv6-15 PE=4 SV=1,Igkv6-15,A0A087WNK1
SJPG103440.003,tr|A0A087WP00|A0A087WP00_MOUSE,Nucleolar protein 58 (Fragment) OS=Mus musculus GN=Nop58 PE=4 SV=1,Nop58,A0A087WP00
SJPG105183.002,tr|A0A087WP33|A0A087WP33_MOUSE,Autophagy-related protein 9A (Fragment) OS=Mus musculus GN=Atg9a PE=1 SV=1,Atg9a,A0A087WP33
SJPG103872.004,tr|A0A087WPK3|A0A087WPK3_MOUSE,Leucine-rich repeat flightless-interacting protein 1 OS=Mus musculus GN=Lrrfip1 PE=1 SV=1,Lrrfip1,A0A087WPK3
SJPG108477.010,tr|A0A087WPP1|A0A087WPP1_MOUSE,Voltage-dependent L-type calcium channel subunit alpha-1C OS=Mus musculus GN=Cacna1c PE=4 SV=1,Cacna1c,A0A087WPP1
SJPG100981.010,tr|A0A087WPQ5|A0A087WPQ5_MOUSE,Uncharacterized protein (Fragment) OS=Mus musculus PE=4 SV=1,,A0A087WPQ5
SJPG104773.010,tr|A0A087WQW8|A0A087WQW8_MOUSE,Fibronectin (Fragment) OS=Mus musculus GN=Fn1 PE=4 SV=1,Fn1,A0A087WQW8
SJPG119892.001,tr|A0A087WR45|A0A087WR45_MOUSE,Protein Prob1 OS=Mus musculus GN=Prob1 PE=1 SV=1,Prob1,A0A087WR45
SJPG104773.002,tr|A0A087WR50|A0A087WR50_MOUSE,Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=1,Fn1,A0A087WR50
SJPG106345.002,tr|A0A087WS16|A0A087WS16_MOUSE,Protein Col6a3 OS=Mus musculus GN=Col6a3 PE=4 SV=1,Col6a3,A0A087WS16
SJPG101544.010,tr|A0A087WSE4|A0A087WSE4_MOUSE,TAR DNA-binding protein 43 (Fragment) OS=Mus musculus GN=Tardbp PE=4 SV=1,Tardbp,A0A087WSE4
SJPG103357.010,tr|A0A087WSP0|A0A087WSP0_MOUSE,Dystonin OS=Mus musculus GN=Dst PE=1 SV=1,Dst,A0A087WSP0
SJPG101369.002,tr|A0JNY3|A0JNY3_MOUSE,Gephyrin OS=Mus musculus GN=Gphn PE=1 SV=1,Gphn,A0JNY3
SJPG101143.002,tr|A1BN54|A1BN54_MOUSE,Alpha actinin 1a OS=Mus musculus GN=Actn1 PE=2 SV=1,Actn1,A1BN54
SJPG102412.001,tr|A2A4P4|A2A4P4_MOUSE,Protein Gm27029 OS=Mus musculus GN=Gm27029 PE=4 SV=1,Gm27029,A2A4P4
SJPG111284.001,tr|A2A5F7|A2A5F7_MOUSE,"Potassium voltage-gated channel, subfamily H (Eag-related), member 4 OS=Mus musculus GN=Kcnh4 PE=2 SV=1",Kcnh4,A2A5F7
SJPG103583.004,tr|A2A5V2|A2A5V2_MOUSE,SH3 domain-binding protein 1 OS=Mus musculus GN=Sh3bp1 PE=4 SV=1,Sh3bp1,A2A5V2
SJPG100216.007,tr|A2A5Y6|A2A5Y6_MOUSE,Microtubule-associated protein OS=Mus musculus GN=Mapt PE=1 SV=1,Mapt,A2A5Y6
SJPG102032.004,tr|A2A838|A2A838_MOUSE,Protein 4.1 (Fragment) OS=Mus musculus GN=Epb4.1 PE=1 SV=1,Epb4,A2A838
SJPG102032.001,tr|A2A841|A2A841_MOUSE,Protein 4.1 OS=Mus musculus GN=Epb4.1 PE=1 SV=1,Epb4,A2A841
SJPG100456.003,tr|A2A8E2|A2A8E2_MOUSE,Protein 0610037L13Rik OS=Mus musculus GN=0610037L13Rik PE=4 SV=1,0610037L13Rik,A2A8E2
SJPG114975.001,tr|A2A9K7|A2A9K7_MOUSE,Protein Cnksr1 OS=Mus musculus GN=Cnksr1 PE=4 SV=1,Cnksr1,A2A9K7
SJPG101559.002,tr|A2ABY3|A2ABY3_MOUSE,Ethanolamine-phosphate cytidylyltransferase OS=Mus musculus GN=Pcyt2 PE=4 SV=1,Pcyt2,A2ABY3
SJPG100242.002,tr|A2ACG7|A2ACG7_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=4 SV=1,Rpn2,A2ACG7
SJPG107462.004,tr|A2AEX6|A2AEX6_MOUSE,Four and a half LIM domains protein 1 OS=Mus musculus GN=Fhl1 PE=1 SV=1,Fhl1,A2AEX6
SJPG107462.005,tr|A2AEX8|A2AEX8_MOUSE,"Four and a half LIM domains 1, isoform CRA_b OS=Mus musculus GN=Fhl1 PE=1 SV=1",Fhl1,A2AEX8
SJPG106580.002,tr|A2AHK0|A2AHK0_MOUSE,Diacylglycerol kinase OS=Mus musculus GN=Dgkz PE=3 SV=1,Dgkz,A2AHK0
SJPG102457.001,tr|A2AIX1|A2AIX1_MOUSE,Protein Sec16a OS=Mus musculus GN=Sec16a PE=1 SV=1,Sec16a,A2AIX1
SJPG103072.002,tr|A2AKD7|A2AKD7_MOUSE,Alpha-1-syntrophin OS=Mus musculus GN=Snta1 PE=1 SV=1,Snta1,A2AKD7
SJPG100837.002,tr|A2AKU9|A2AKU9_MOUSE,ATP synthase subunit gamma OS=Mus musculus GN=Atp5c1 PE=1 SV=1,Atp5c1,A2AKU9
SJPG102891.002,tr|A2ALV6|A2ALV6_MOUSE,Protein AI314180 OS=Mus musculus GN=AI314180 PE=4 SV=1,AI314180,A2ALV6
SJPG109281.004,tr|A2AMH5|A2AMH5_MOUSE,Choline transporter-like protein 1 OS=Mus musculus GN=Slc44a1 PE=4 SV=1,Slc44a1,A2AMH5
SJPG102601.010,tr|A2AQ43|A2AQ43_MOUSE,Formin-binding protein 1 OS=Mus musculus GN=Fnbp1 PE=1 SV=1,Fnbp1,A2AQ43
SJPG112508.002,tr|A2AQ53|A2AQ53_MOUSE,Fibrillin-1 OS=Mus musculus GN=Fbn1 PE=4 SV=1,Fbn1,A2AQ53
SJPG115368.001,tr|A2AQ92|A2AQ92_MOUSE,Protein Duox1 OS=Mus musculus GN=Duox1 PE=4 SV=1,Duox1,A2AQ92
SJPG113459.002,tr|A2AQA9|A2AQA9_MOUSE,Protein Neb OS=Mus musculus GN=Neb PE=4 SV=1,Neb,A2AQA9
SJPG113459.003,tr|A2AQB2|A2AQB2_MOUSE,Protein Neb OS=Mus musculus GN=Neb PE=4 SV=1,Neb,A2AQB2
SJPG101799.003,tr|A2ARJ0|A2ARJ0_MOUSE,Signal transducing adapter molecule 1 (Fragment) OS=Mus musculus GN=Stam PE=4 SV=1,Stam,A2ARJ0
SJPG100641.004,tr|A2AT02|A2AT02_MOUSE,NSFL1 cofactor p47 OS=Mus musculus GN=Nsfl1c PE=1 SV=1,Nsfl1c,A2AT02
SJPG105994.001,tr|A2AT37|A2AT37_MOUSE,Protein Upf2 OS=Mus musculus GN=Upf2 PE=2 SV=1,Upf2,A2AT37
SJPG113194.016,tr|A2AT62|A2AT62_MOUSE,Titin (Fragment) OS=Mus musculus GN=Ttn PE=4 SV=1,Ttn,A2AT62
SJPG113194.010,tr|A2AT65|A2AT65_MOUSE,Titin (Fragment) OS=Mus musculus GN=Ttn PE=4 SV=1,Ttn,A2AT65
SJPG113194.011,tr|A2AT66|A2AT66_MOUSE,Titin (Fragment) OS=Mus musculus GN=Ttn PE=4 SV=1,Ttn,A2AT66
SJPG113194.009,tr|A2AT68|A2AT68_MOUSE,Titin (Fragment) OS=Mus musculus GN=Ttn PE=4 SV=1,Ttn,A2AT68
SJPG118321.001,tr|A2BIN1|A2BIN1_MOUSE,Major urinary protein 8 OS=Mus musculus GN=Mup10 PE=2 SV=1,Mup10,A2BIN1
SJPG102454.002,tr|A2CEK3|A2CEK3_MOUSE,Phosphoglucomutase-2 OS=Mus musculus GN=Pgm2 PE=1 SV=1,Pgm2,A2CEK3
SJPG102766.001,tr|A2RTH5|A2RTH5_MOUSE,Leucine carboxyl methyltransferase 1 OS=Mus musculus GN=Lcmt1 PE=2 SV=1,Lcmt1,A2RTH5
SJPG113394.001,tr|A3KG49|A3KG49_MOUSE,Protein Gm5640 OS=Mus musculus GN=Gm5640 PE=4 SV=1,Gm5640,A3KG49
SJPG102909.001,tr|A3KGR9|A3KGR9_MOUSE,Minor histocompatibility antigen H13 (Fragment) OS=Mus musculus GN=H13 PE=4 SV=1,H13,A3KGR9
SJPG104756.003,tr|A6H644|A6H644_MOUSE,Protein phosphatase 1 regulatory subunit 12 OS=Mus musculus GN=Ppp1r12b PE=1 SV=1,Ppp1r12b,A6H644
SJPG101393.002,tr|A6X940|A6X940_MOUSE,Fermitin family homolog 2 (Fragment) OS=Mus musculus GN=Fermt2 PE=4 SV=1,Fermt2,A6X940
SJPG103923.010,tr|A6XDB1|A6XDB1_MOUSE,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D OS=Mus musculus GN=Pde4d PE=2 SV=1",Pde4d,A6XDB1
SJPG100056.002,tr|A6ZI44|A6ZI44_MOUSE,Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldoa PE=2 SV=1,Aldoa,A6ZI44
SJPG102602.001,tr|A6ZI47|A6ZI47_MOUSE,Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldoart2 PE=2 SV=1,Aldoart2,A6ZI47
SJPG107290.001,tr|A7UAK5|A7UAK5_MOUSE,"6-phosphofructo-2-kinase/fructose-2, 6-biphosphatase 3 splice variant 2 OS=Mus musculus GN=Pfkfb3 PE=1 SV=1",Pfkfb3,A7UAK5
SJPG100534.001,tr|A8DUK4|A8DUK4_MOUSE,Beta-globin OS=Mus musculus GN=Hbbt1 PE=3 SV=1,Hbbt1,A8DUK4
SJPG100080.003,tr|B0QZL1|B0QZL1_MOUSE,Enolase (Fragment) OS=Mus musculus GN=Eno1 PE=1 SV=1,Eno1,B0QZL1
SJPG103904.001,tr|B1APX2|B1APX2_MOUSE,Protein 5031439G07Rik OS=Mus musculus GN=5031439G07Rik PE=1 SV=1,5031439G07Rik,B1APX2
SJPG100216.008,tr|B1AQW2|B1AQW2_MOUSE,Microtubule-associated protein OS=Mus musculus GN=Mapt PE=1 SV=1,Mapt,B1AQW2
SJPG106646.001,tr|B1AR17|B1AR17_MOUSE,Protein Chd3 OS=Mus musculus GN=Chd3 PE=4 SV=1,Chd3,B1AR17
SJPG110530.001,tr|B1AR69|B1AR69_MOUSE,Protein Myh13 OS=Mus musculus GN=Myh13 PE=4 SV=1,Myh13,B1AR69
SJPG102216.003,tr|B1AR74|B1AR74_MOUSE,Breast carcinoma-amplified sequence 3 homolog OS=Mus musculus GN=Bcas3 PE=1 SV=1,Bcas3,B1AR74
SJPG106583.001,tr|B1ART2|B1ART2_MOUSE,Protein Vps13d OS=Mus musculus GN=Vps13d PE=1 SV=2,Vps13d,B1ART2
SJPG104322.001,tr|B1ATA0|B1ATA0_MOUSE,Protein 2310067B10Rik (Fragment) OS=Mus musculus GN=2310067B10Rik PE=4 SV=1,2310067B10Rik,B1ATA0
SJPG100129.003,tr|B1ATY1|B1ATY1_MOUSE,"Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=3 SV=1",Actg1,B1ATY1
SJPG102914.010,tr|B1AUB8|B1AUB8_MOUSE,Nuclear factor 1 OS=Mus musculus GN=Nfia PE=1 SV=1,Nfia,B1AUB8
SJPG103452.001,tr|B1AUN2|B1AUN2_MOUSE,MCG14442 OS=Mus musculus GN=Eif2b3 PE=4 SV=1,Eif2b3,B1AUN2
SJPG109443.003,tr|B1AVA4|B1AVA4_MOUSE,Voltage-dependent L-type calcium channel subunit alpha-1F OS=Mus musculus GN=Cacna1f PE=3 SV=1,Cacna1f,B1AVA4
SJPG102396.001,tr|B1AWC9|B1AWC9_MOUSE,Protein Pde4b OS=Mus musculus GN=Pde4b PE=1 SV=1,Pde4b,B1AWC9
SJPG101758.001,tr|B1AWN6|B1AWN6_MOUSE,Sodium channel protein OS=Mus musculus GN=Scn2a1 PE=3 SV=1,Scn2a1,B1AWN6
SJPG100362.001,tr|B1AX95|B1AX95_MOUSE,Tumor protein p63-regulated gene 1-like protein OS=Mus musculus GN=Tprgl PE=4 SV=1,Tprgl,B1AX95
SJPG107141.001,tr|B2KF50|B2KF50_MOUSE,Protein Uhrf1bp1 OS=Mus musculus GN=Uhrf1bp1 PE=1 SV=1,Uhrf1bp1,B2KF50
SJPG112389.002,tr|B2RQK7|B2RQK7_MOUSE,Synaptopodin 2-like protein OS=Mus musculus GN=Synpo2l PE=2 SV=1,Synpo2l,B2RQK7
SJPG104738.003,tr|B2RUF0|B2RUF0_MOUSE,Y box protein 2 OS=Mus musculus GN=Ybx2 PE=2 SV=1,Ybx2,B2RUF0
SJPG108479.001,tr|B2RUS7|B2RUS7_MOUSE,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8 OS=Mus musculus GN=Abcc8 PE=2 SV=1",Abcc8,B2RUS7
SJPG109375.001,tr|B2RXC8|B2RXC8_MOUSE,3222402P14Rik protein OS=Mus musculus GN=Ppp2r3a PE=2 SV=1,Ppp2r3a,B2RXC8
SJPG100456.001,tr|B7ZC71|B7ZC71_MOUSE,Protein 0610037L13Rik OS=Mus musculus GN=0610037L13Rik PE=4 SV=1,0610037L13Rik,B7ZC71
SJPG100230.008,tr|B7ZNL3|B7ZNL3_MOUSE,Tpm1 protein OS=Mus musculus GN=Tpm1 PE=2 SV=1,Tpm1,B7ZNL3
SJPG100355.010,tr|B7ZWM6|B7ZWM6_MOUSE,Sorbin and SH3 domain-containing protein 2 OS=Mus musculus GN=Sorbs2 PE=1 SV=1,Sorbs2,B7ZWM6
SJPG103141.001,tr|B8JJ69|B8JJ69_MOUSE,Protein 2310061I04Rik OS=Mus musculus GN=2310061I04Rik PE=4 SV=1,2310061I04Rik,B8JJ69
SJPG101766.002,tr|B8QI35|B8QI35_MOUSE,Liprin-alpha 3 OS=Mus musculus GN=Ppfia3 PE=1 SV=1,Ppfia3,B8QI35
SJPG104666.001,tr|B8QI36|B8QI36_MOUSE,Liprin-alpha 4 OS=Mus musculus GN=Ppfia4 PE=2 SV=1,Ppfia4,B8QI36
SJPG101419.002,tr|B9EHJ3|B9EHJ3_MOUSE,Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=1,Tjp1,B9EHJ3
SJPG101917.001,tr|B9EJ54|B9EJ54_MOUSE,"MCG21756, isoform CRA_b OS=Mus musculus GN=Nup205 PE=2 SV=1",Nup205,B9EJ54
SJPG104930.001,tr|B9EJ86|B9EJ86_MOUSE,Oxysterol-binding protein OS=Mus musculus GN=Osbpl8 PE=1 SV=1,Osbpl8,B9EJ86
SJPG107970.001,tr|B9EJR8|B9EJR8_MOUSE,HEAT repeat containing 2 OS=Mus musculus GN=Heatr2 PE=2 SV=1,Heatr2,B9EJR8
SJPG105785.002,tr|D3YTN4|D3YTN4_MOUSE,GTPase IMAP family member 4 OS=Mus musculus GN=Gimap4 PE=4 SV=1,Gimap4,D3YTN4
SJPG103883.002,tr|D3YTT4|D3YTT4_MOUSE,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acad8 PE=1 SV=1",Acad8,D3YTT4
SJPG104126.004,tr|D3YU39|D3YU39_MOUSE,Cholinephosphotransferase 1 OS=Mus musculus GN=Chpt1 PE=3 SV=1,Chpt1,D3YU39
SJPG118347.001,tr|D3YU50|D3YU50_MOUSE,Protein Mybpc1 OS=Mus musculus GN=Mybpc1 PE=4 SV=1,Mybpc1,D3YU50
SJPG100197.010,tr|D3YUQ9|D3YUQ9_MOUSE,Elongation factor 1-delta (Fragment) OS=Mus musculus GN=Eef1d PE=1 SV=3,Eef1d,D3YUQ9
SJPG113415.002,tr|D3YUT2|D3YUT2_MOUSE,Alpha-protein kinase 3 OS=Mus musculus GN=Alpk3 PE=4 SV=1,Alpk3,D3YUT2
SJPG103366.011,tr|D3YV81|D3YV81_MOUSE,Sarcolemmal membrane-associated protein (Fragment) OS=Mus musculus GN=Slmap PE=4 SV=1,Slmap,D3YV81
SJPG106195.006,tr|D3YVS1|D3YVS1_MOUSE,Smoothelin OS=Mus musculus GN=Smtn PE=4 SV=1,Smtn,D3YVS1
SJPG101037.003,tr|D3YVW0|D3YVW0_MOUSE,Metaxin-1 OS=Mus musculus GN=Mtx1 PE=4 SV=2,Mtx1,D3YVW0
SJPG103134.001,tr|D3YW52|D3YW52_MOUSE,Alpha-2-macroglobulin OS=Mus musculus GN=Pzp PE=4 SV=1,Pzp,D3YW52
SJPG102509.002,tr|D3YWX2|D3YWX2_MOUSE,YLP motif-containing protein 1 OS=Mus musculus GN=Ylpm1 PE=4 SV=2,Ylpm1,D3YWX2
SJPG109820.001,tr|D3YY36|D3YY36_MOUSE,Protein 1300017J02Rik OS=Mus musculus GN=1300017J02Rik PE=3 SV=1,1300017J02Rik,D3YY36
SJPG102257.001,tr|D3YYI5|D3YYI5_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gm7293 PE=3 SV=1,Gm7293,D3YYI5
SJPG113399.001,tr|D3YYQ8|D3YYQ8_MOUSE,Protein Dnah10 OS=Mus musculus GN=Dnah10 PE=4 SV=2,Dnah10,D3YYQ8
SJPG100925.003,tr|D3YYR8|D3YYR8_MOUSE,Serotransferrin (Fragment) OS=Mus musculus GN=Trf PE=4 SV=1,Trf,D3YYR8
SJPG105262.001,tr|D3YZZ5|D3YZZ5_MOUSE,Protein Tmed7 OS=Mus musculus GN=Tmed7 PE=3 SV=1,Tmed7,D3YZZ5
SJPG100355.012,tr|D3Z080|D3Z080_MOUSE,Sorbin and SH3 domain-containing protein 2 OS=Mus musculus GN=Sorbs2 PE=1 SV=1,Sorbs2,D3Z080
SJPG103333.001,tr|D3Z0M9|D3Z0M9_MOUSE,"MCG18410, isoform CRA_a OS=Mus musculus GN=Ddx23 PE=3 SV=1",Ddx23,D3Z0M9
SJPG103561.001,tr|D3Z0Z9|D3Z0Z9_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gm5069 PE=3 SV=1,Gm5069,D3Z0Z9
SJPG113809.001,tr|D3Z1D3|D3Z1D3_MOUSE,Protein 3425401B19Rik OS=Mus musculus GN=3425401B19Rik PE=4 SV=1,3425401B19Rik,D3Z1D3
SJPG106069.001,tr|D3Z1F7|D3Z1F7_MOUSE,Protein 4833439L19Rik OS=Mus musculus GN=4833439L19Rik PE=1 SV=1,4833439L19Rik,D3Z1F7
SJPG108311.002,tr|D3Z220|D3Z220_MOUSE,Dipeptidyl peptidase 1 (Fragment) OS=Mus musculus GN=Ctsc PE=4 SV=1,Ctsc,D3Z220
SJPG102140.001,tr|D3Z263|D3Z263_MOUSE,Protein Rtca (Fragment) OS=Mus musculus GN=Rtca PE=4 SV=1,Rtca,D3Z263
SJPG113622.001,tr|D3Z2X2|D3Z2X2_MOUSE,Protein Dnhd1 OS=Mus musculus GN=Dnhd1 PE=4 SV=2,Dnhd1,D3Z2X2
SJPG111025.001,tr|D3Z316|D3Z316_MOUSE,Protein 1700021F05Rik OS=Mus musculus GN=1700021F05Rik PE=1 SV=1,1700021F05Rik,D3Z316
SJPG103535.001,tr|D3Z3N4|D3Z3N4_MOUSE,"MCG11326, isoform CRA_a OS=Mus musculus GN=Hnrnph3 PE=4 SV=1",Hnrnph3,D3Z3N4
SJPG103201.002,tr|D3Z494|D3Z494_MOUSE,"MCG142264, isoform CRA_a OS=Mus musculus GN=Akr1b10 PE=4 SV=1",Akr1b10,D3Z494
SJPG102126.010,tr|D3Z5M4|D3Z5M4_MOUSE,Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=1,Ank1,D3Z5M4
SJPG114004.001,tr|D3Z623|D3Z623_MOUSE,"MCG7194, isoform CRA_a OS=Mus musculus GN=9330159F19Rik PE=4 SV=2",9330159F19Rik,D3Z623
SJPG114177.001,tr|D3Z689|D3Z689_MOUSE,"ADAMTS-like 5, isoform CRA_c OS=Mus musculus GN=Adamtsl5 PE=4 SV=1",Adamtsl5,D3Z689
SJPG101141.010,tr|D3Z6A8|D3Z6A8_MOUSE,Homer protein homolog 1 OS=Mus musculus GN=Homer1 PE=4 SV=1,Homer1,D3Z6A8
SJPG101043.002,tr|D3Z6G3|D3Z6G3_MOUSE,Microtubule-associated protein RP/EB family member 3 OS=Mus musculus GN=Mapre3 PE=4 SV=1,Mapre3,D3Z6G3
SJPG110375.002,tr|D3Z7D5|D3Z7D5_MOUSE,Collagen alpha-2(VI) chain OS=Mus musculus GN=Col6a2 PE=4 SV=1,Col6a2,D3Z7D5
SJPG114893.001,tr|D3Z7H8|D3Z7H8_MOUSE,Protein Cilp2 OS=Mus musculus GN=Cilp2 PE=4 SV=1,Cilp2,D3Z7H8
SJPG100197.013,tr|D3Z7N2|D3Z7N2_MOUSE,Elongation factor 1-delta (Fragment) OS=Mus musculus GN=Eef1d PE=1 SV=1,Eef1d,D3Z7N2
SJPG107146.001,tr|D3Z7X0|D3Z7X0_MOUSE,MCG142036 OS=Mus musculus GN=Acad12 PE=1 SV=1,Acad12,D3Z7X0
SJPG102744.001,tr|D4AFX7|D4AFX7_MOUSE,Protein Dnajc13 OS=Mus musculus GN=Dnajc13 PE=2 SV=1,Dnajc13,D4AFX7
SJPG100143.005,tr|D6RG60|D6RG60_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Mus musculus GN=Ndufv1 PE=1 SV=1",Ndufv1,D6RG60
SJPG106840.001,tr|D6RG65|D6RG65_MOUSE,Protein 1700052N19Rik OS=Mus musculus GN=1700052N19Rik PE=4 SV=1,1700052N19Rik,D6RG65
SJPG112558.004,tr|E0CYH7|E0CYH7_MOUSE,Filamin A-interacting protein 1-like OS=Mus musculus GN=Filip1l PE=1 SV=1,Filip1l,E0CYH7
SJPG103911.010,tr|E0CYT1|E0CYT1_MOUSE,Serine/threonine-protein kinase WNK2 OS=Mus musculus GN=Wnk2 PE=4 SV=1,Wnk2,E0CYT1
SJPG113626.001,tr|E0CYV9|E0CYV9_MOUSE,Protein 1110002E22Rik OS=Mus musculus GN=1110002E22Rik PE=4 SV=1,1110002E22Rik,E0CYV9
SJPG101103.006,tr|E9PUD2|E9PUD2_MOUSE,Dynamin-1-like protein OS=Mus musculus GN=Dnm1l PE=1 SV=1,Dnm1l,E9PUD2
SJPG102074.002,tr|E9PUM4|E9PUM4_MOUSE,Talin-2 OS=Mus musculus GN=Tln2 PE=1 SV=1,Tln2,E9PUM4
SJPG104290.001,tr|E9PUR0|E9PUR0_MOUSE,Protein Ankhd1 OS=Mus musculus GN=Ankhd1 PE=4 SV=1,Ankhd1,E9PUR0
SJPG102117.013,tr|E9PUR2|E9PUR2_MOUSE,Unconventional myosin-XVIIIa (Fragment) OS=Mus musculus GN=Myo18a PE=4 SV=1,Myo18a,E9PUR2
SJPG113056.001,tr|E9PUT0|E9PUT0_MOUSE,Protein 3110052M02Rik OS=Mus musculus GN=3110052M02Rik PE=4 SV=1,3110052M02Rik,E9PUT0
SJPG113311.001,tr|E9PUZ9|E9PUZ9_MOUSE,Protein Pdzrn4 OS=Mus musculus GN=Pdzrn4 PE=4 SV=1,Pdzrn4,E9PUZ9
SJPG105430.001,tr|E9PV41|E9PV41_MOUSE,Protein diaphanous homolog 1 OS=Mus musculus GN=Diap1 PE=1 SV=1,Diap1,E9PV41
SJPG113333.001,tr|E9PV66|E9PV66_MOUSE,Protein Myo18b OS=Mus musculus GN=Myo18b PE=4 SV=1,Myo18b,E9PV66
SJPG103093.001,tr|E9PVA8|E9PVA8_MOUSE,Protein Gcn1l1 OS=Mus musculus GN=Gcn1l1 PE=4 SV=1,Gcn1l1,E9PVA8
SJPG100096.003,tr|E9PVC5|E9PVC5_MOUSE,Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus GN=Eif4g1 PE=1 SV=1,Eif4g1,E9PVC5
SJPG106041.003,tr|E9PVD2|E9PVD2_MOUSE,"Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus GN=Itih4 PE=4 SV=1",Itih4,E9PVD2
SJPG102435.002,tr|E9PVG7|E9PVG7_MOUSE,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Mus musculus GN=Map4k4 PE=1 SV=2,Map4k4,E9PVG7
SJPG113600.001,tr|E9PVG8|E9PVG8_MOUSE,Protein 9530053A07Rik OS=Mus musculus GN=9530053A07Rik PE=4 SV=1,9530053A07Rik,E9PVG8
SJPG103700.001,tr|E9PVN6|E9PVN6_MOUSE,Protein Gm20498 OS=Mus musculus GN=Gm20498 PE=4 SV=1,Gm20498,E9PVN6
SJPG102596.005,tr|E9PVU0|E9PVU0_MOUSE,Unconventional myosin-VI OS=Mus musculus GN=Myo6 PE=4 SV=1,Myo6,E9PVU0
SJPG103954.001,tr|E9PVZ8|E9PVZ8_MOUSE,Protein Golgb1 OS=Mus musculus GN=Golgb1 PE=1 SV=1,Golgb1,E9PVZ8
SJPG101263.002,tr|E9PWE8|E9PWE8_MOUSE,Dihydropyrimidinase-related protein 3 OS=Mus musculus GN=Dpysl3 PE=1 SV=1,Dpysl3,E9PWE8
SJPG103533.001,tr|E9PWG2|E9PWG2_MOUSE,Protein Trappc8 OS=Mus musculus GN=Trappc8 PE=1 SV=1,Trappc8,E9PWG2
SJPG108083.001,tr|E9PWI3|E9PWI3_MOUSE,Protein Mcc OS=Mus musculus GN=Mcc PE=1 SV=1,Mcc,E9PWI3
SJPG106345.001,tr|E9PWQ3|E9PWQ3_MOUSE,Protein Col6a3 OS=Mus musculus GN=Col6a3 PE=1 SV=2,Col6a3,E9PWQ3
SJPG102882.001,tr|E9PWR4|E9PWR4_MOUSE,Protein Dip2c OS=Mus musculus GN=Dip2c PE=4 SV=1,Dip2c,E9PWR4
SJPG112045.001,tr|E9PWZ3|E9PWZ3_MOUSE,Protein Rpl3l OS=Mus musculus GN=Rpl3l PE=3 SV=1,Rpl3l,E9PWZ3
SJPG108488.001,tr|E9PYB0|E9PYB0_MOUSE,Protein Ahnak2 (Fragment) OS=Mus musculus GN=Ahnak2 PE=1 SV=3,Ahnak2,E9PYB0
SJPG106578.001,tr|E9PYF4|E9PYF4_MOUSE,Protein Lmo7 OS=Mus musculus GN=Lmo7 PE=1 SV=1,Lmo7,E9PYF4
SJPG105550.001,tr|E9PYG6|E9PYG6_MOUSE,Protein Rasa1 OS=Mus musculus GN=Rasa1 PE=4 SV=1,Rasa1,E9PYG6
SJPG113326.001,tr|E9PYI1|E9PYI1_MOUSE,Protein Zfp568 OS=Mus musculus GN=Zfp568 PE=4 SV=1,Zfp568,E9PYI1
SJPG108652.001,tr|E9PYK3|E9PYK3_MOUSE,Protein Parp4 OS=Mus musculus GN=Parp4 PE=4 SV=1,Parp4,E9PYK3
SJPG101009.010,tr|E9PYX6|E9PYX6_MOUSE,Sorbin and SH3 domain-containing protein 1 OS=Mus musculus GN=Sorbs1 PE=1 SV=1,Sorbs1,E9PYX6
SJPG105403.002,tr|E9PZ16|E9PZ16_MOUSE,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=4 SV=1,Hspg2,E9PZ16
